target,gender_F,income_high,income_low,country_USA,country_India,country_UK,age,time_since_last_gift,time_since_first_gift,max_gift,min_gift,mean_gift,number_gift
0,1,0,1,0,1,0,65,530,2265,166,87,116,7
0,1,0,0,0,1,0,71,715,715,90,90,90,1
0,1,0,0,0,1,0,28,150,1806,125,74,96,9
0,1,0,1,1,0,0,52,725,2274,117,97,104.25,4
0,1,1,0,1,0,0,82,805,805,80,80,80,1
0,1,1,0,1,0,0,42,907,2287,114,67,86.66666667,6
0,0,0,0,1,0,0,52,673,2212,118,72,93.25,4
0,0,0,0,1,0,0,72,710,2455,111,74,98.5,6
0,1,1,0,0,1,0,77,813,2336,53,46,50.5,4
0,1,0,0,0,0,1,48,812,2718,107,74,88.33333333,9
0,0,0,0,0,1,0,41,1240,2045,99,62,80.5,2
0,1,0,1,0,1,0,22,1102,2276,134,84,103,6
0,0,0,0,0,1,0,60,694,2200,107,54,77.83333333,6
0,1,0,0,0,1,0,45,1085,1989,93,70,81.5,2
0,0,1,0,1,0,0,46,552,2666,152,101,126.8888889,9
0,0,0,0,1,0,0,48,1047,2745,109,69,83.6,5
0,0,0,0,0,1,0,50,1328,2596,91,51,70.4,5
0,0,0,0,0,1,0,45,432,2297,103,93,99,3
0,0,0,0,0,1,0,88,1119,1865,89,49,68.25,4
0,0,0,0,0,1,0,70,870,1915,128,61,94.5,2
0,0,0,0,0,1,0,93,644,2595,106,51,90,6
0,0,0,0,1,0,0,23,612,2722,120,90,101,3
0,1,1,0,1,0,0,45,809,2421,99,69,87.25,4
0,0,0,0,0,0,1,63,1148,2690,118,74,98,6
0,0,0,1,1,0,0,71,370,2169,91,54,71,7
0,0,0,0,1,0,0,79,796,2107,107,59,86.8,5
0,1,0,0,0,1,0,80,775,2530,122,71,101.6666667,3
0,1,0,0,0,1,0,43,914,1787,96,64,80,5
0,0,0,0,0,1,0,54,428,2720,108,68,86.66666667,6
0,0,0,0,1,0,0,78,795,2759,104,47,79.91666667,12
0,0,0,0,0,1,0,41,444,2540,123,49,81.6,5
0,0,0,0,1,0,0,64,920,2291,110,57,81.5,4
0,1,1,0,0,1,0,60,503,1209,115,53,75.75,4
0,1,0,0,0,1,0,64,699,1889,122,104,110,3
0,0,0,0,0,1,0,91,502,2592,96,64,88,6
0,1,0,0,0,1,0,23,1205,2161,138,77,101.5,4
0,1,0,0,0,1,0,52,374,2143,97,55,81.4,5
0,1,0,0,1,0,0,26,202,2744,95,49,80.57142857,7
0,1,0,0,0,1,0,58,753,2687,121,40,88.9,10
0,0,1,0,0,0,1,81,1190,2659,109,63,80.75,8
0,0,0,0,0,1,0,51,860,2611,95,54,75.14285714,7
0,0,0,1,1,0,0,84,286,286,108,108,108,1
0,0,1,0,0,1,0,42,1044,2493,130,68,98.1,10
0,1,0,0,1,0,0,44,836,2714,119,76,99.4,10
0,1,1,0,1,0,0,54,628,2568,121,59,96.125,8
0,1,0,1,0,1,0,65,481,2633,95,42,62.14285714,7
0,0,0,0,0,1,0,48,256,2706,89,38,65.5,6
0,1,1,0,0,1,0,60,786,786,93,93,93,1
0,1,0,0,1,0,0,79,1426,2453,127,59,96.42857143,7
